,Issue_id_1,Issue_id_2,Resolution,Title_1,Title_2,same_comp,same_prio,same_tw
0,Core-91,Core-103,FIXED,document properties cannot be listed,layout bug: table cell overflows containing cell,0,0,1
1,Core-103,Core-104,FIXED,layout bug: table cell overflows containing cell,table saved as text: missing inter-column space,0,0,1
2,Core-104,Core-105,WONTFIX,table saved as text: missing inter-column space,nested <TABLE>s: bgcolor of inner table not recognized,0,0,1
3,Core-105,Core-133,FIXED,nested <TABLE>s: bgcolor of inner table not recognized,Navigator draws entities like &lt;&amp;&gt; as ?s when KOI-8 encoding is set.,0,0,1
4,Core-133,Core-159,FIXED,Navigator draws entities like &lt;&amp;&gt; as ?s when KOI-8 encoding is set.,warning fix : ns/js/jsj/jsStubs.c,0,0,1
5,Core-159,Core-174,FIXED,warning fix : ns/js/jsj/jsStubs.c,URL: mailto:s -> Failed assert on exit at mkgeturl.c:5855 (net_CleanupMailtoStub),0,0,1
6,Core-174,Core-220,FIXED,URL: mailto:s -> Failed assert on exit at mkgeturl.c:5855 (net_CleanupMailtoStub),Incorrect display of CP-1250 pages in Unix version,0,1,1
7,Core-220,Core-228,FIXED,Incorrect display of CP-1250 pages in Unix version,Navigator spawn a lot of error messages in infinite loop.,0,1,1
8,Core-228,Core-273,FIXED,Navigator spawn a lot of error messages in infinite loop.,Submenu open delay wrong on Windows,0,0,1
9,Core-279,Core-324,FIXED,Garbage collector incorrectly called during script execution,explicit casts needed in EditorFrame.cpp,0,1,1
10,Core-324,Core-334,FIXED,explicit casts needed in EditorFrame.cpp,ANSI disallows enum casts - make explicit in EditorView.cpp,1,1,1
11,Core-334,Core-335,FIXED,ANSI disallows enum casts - make explicit in EditorView.cpp,ANSI disallows enum casts - make explicit in HistoryView.cpp,0,1,1
12,Core-335,Core-346,FIXED,ANSI disallows enum casts - make explicit in HistoryView.cpp,Missing & in parameter; cmd/xfe/forms.c:2116,0,0,1
13,Core-346,Core-387,FIXED,Missing & in parameter; cmd/xfe/forms.c:2116,warnings when compiling jsmath.c in javascript ref,0,0,1
14,Core-387,Core-414,WONTFIX,warnings when compiling jsmath.c in javascript ref,on resizing browser A HREF= function() js function undefined,1,1,1
15,Core-420,Core-432,WONTFIX,[NATIVE-WIDGET] a <select> doesnt show up as the document background color,PowerBuilder plugin causes random page fault error.,0,1,1
16,Core-432,Core-433,FIXED,PowerBuilder plugin causes random page fault error.,Page fault error created when Netscape launched before Windows completes loading,1,1,1
17,Core-433,Core-434,WONTFIX,Page fault error created when Netscape launched before Windows completes loading,Communicator does not work with PowerBuilder plugin.,1,1,1
18,Core-436,Core-438,FIXED,Doesnt display some GIFs,Incorrect anonymous FTP login,0,0,1
19,Core-438,Core-452,WONTFIX,Incorrect anonymous FTP login,user entries in LOCAL_MACHINE instead of CURRENT_USER,0,0,1
20,Core-454,Core-465,FIXED,Unix: 0x80-0x9F in cp1252 do not display correctly,FTP PORT (active) command support,0,0,1
21,Core-465,Core-466,WONTFIX,FTP PORT (active) command support,font stacks and a parsing algorithm bug,0,0,1
22,Core-467,Core-476,FIXED,Undefined references in $CODEROOT/nsprpub/pr/src/linking/prlink.c,Core dump on startup of moz-export,0,1,1
23,Core-476,Core-490,FIXED,Core dump on startup of moz-export,[Dogfood] Editor needs to insert formatting whitespace,0,1,1
24,Core-490,Core-492,FIXED,[Dogfood] Editor needs to insert formatting whitespace,Multiple ALIGN=LEFT tables dont render,0,0,1
25,Core-492,Core-534,FIXED,Multiple ALIGN=LEFT tables dont render,Saving bookmarks corrupts dir ownership,0,0,1
26,Core-534,Core-560,FIXED,Saving bookmarks corrupts dir ownership,Ugly residue between page loads on Win95,0,0,1
27,Core-560,Core-564,FIXED,Ugly residue between page loads on Win95,ISO-8859-1 should be converted as CP 1252,0,1,1
28,Core-564,Core-566,FIXED,ISO-8859-1 should be converted as CP 1252,Puke appears on screen in between page loads on Win95,0,1,1
29,Core-566,Core-568,FIXED,Puke appears on screen in between page loads on Win95,NGLayout Crashes on this URL trying parse cookie date,0,1,1
30,Core-568,Core-569,FIXED,NGLayout Crashes on this URL trying parse cookie date,Make the Beep Stop!,0,1,1
31,Core-569,Core-570,FIXED,Make the Beep Stop!,Courier; Times New Roman fonts dont display in Test 0,0,1,1
32,Core-570,Core-572,FIXED,Courier; Times New Roman fonts dont display in Test 0,Release Build Crashes on Mouseovers,0,1,1
33,Core-572,Core-573,FIXED,Release Build Crashes on Mouseovers,LINKd style sheets do not work,0,1,1
34,Core-573,Core-574,FIXED,LINKd style sheets do not work,Whitespace is chopped after closing tags,0,1,1
35,Core-574,Core-576,FIXED,Whitespace is chopped after closing tags,<STRONG> doesnt work,1,1,1
36,Core-576,Core-577,FIXED,<STRONG> doesnt work,Clicking on a link doesnt make it ACTIVE,0,1,1
37,Core-577,Core-578,FIXED,Clicking on a link doesnt make it ACTIVE,CSS First-line selector doesnt work,0,1,1
38,Core-578,Core-579,FIXED,CSS First-line selector doesnt work,{feature} CSS First-letter selector isnt finished,1,0,1
39,Core-579,Core-580,FIXED,{feature} CSS First-letter selector isnt finished,CSS !important doesnt work,1,0,1
