,Issue_id_1,Issue_id_2,Resolution,Title_1,Title_2,same_comp,same_prio,same_tw
0,Core-273,Core-24514,DUPLICATE,Submenu open delay wrong on Windows,Tweak open delay; or use an OS setting,1,0,1
1,Core-414,Core-415,DUPLICATE,on resizing browser A HREF= function() js function undefined,,0,0,1
2,Core-452,Core-6464,DUPLICATE,user entries in LOCAL_MACHINE instead of CURRENT_USER,Profile system should honor OSs multi-user definitions,1,0,1
3,Core-466,Core-991,DUPLICATE,font stacks and a parsing algorithm bug,[DOGFOOD][4.xP] font tags containing blocks are badly parsed,0,0,1
4,Core-581,Core-31413,DUPLICATE,CSS must have fonts cursive and fantasy arent supported,,0,0,1
5,Core-597,Core-2084,DUPLICATE,PageDown/PageUp key presses should scroll document,,0,0,1
6,Core-599,Core-1533,DUPLICATE,ss:FTP directories not displaying,FTP URLs crash 11.23.98 XPViewer App,1,0,1
7,Core-603,Core-1433,DUPLICATE,script src= doesnt work,Page loading is synchronous for embedded stuff like stylesheets,1,1,1
8,Core-709,Core-1802,DUPLICATE,<TR ALIGN=center> Doesnt center cell data,<tr align=left/right/center> not working,1,1,1
9,Core-737,Core-6936,DUPLICATE,file:/// url navigation and generated directory,file:// Can not view directories,1,0,1
10,Core-756,Core-1358,DUPLICATE,ABBR not handled correctly,[4.xP]Tooltips do not work,0,0,1
11,Core-810,Core-812,DUPLICATE,borders around elements eat their way into text,no left padding,0,1,1
12,Core-935,Core-1346,DUPLICATE,auto-closing DT/DD doesnt work,simple parsing bug,1,1,1
13,Core-1002,Core-11020,DUPLICATE,Placeholder bug for SU support in 5.0,,0,0,1
14,Core-1061,Core-24861,DUPLICATE,nested quotes not yet supported (<q> CSS quoting),Quotes nesting doesnt work [GC],0,1,1
15,Core-1063,Core-2486,DUPLICATE,width of form element not right,Text inputs are one (or two) character(s) too wide,0,1,1
16,Core-1070,Core-18480,DUPLICATE,Crashes when viewing pages with too many nested tags.,bad html crashes mozilla,1,0,1
17,Core-1071,Core-1080,DUPLICATE,Image position incorect when inside <p></p>,{vmargin} top/bottom block margins and floaters dont mix well,1,1,1
18,Core-1073,Core-7259,DUPLICATE,navigator.preference() not wired up yet,navigator.preference() method does not return anything.,1,0,1
19,Core-1094,Core-2082,DUPLICATE,FORM behaves like inline element,form elements not treated as forms children,0,1,1
20,Core-1095,Core-3977,DUPLICATE,colspan with width distorts tables,,0,0,1
21,Core-1110,Core-2947,DUPLICATE,Table layout looks funky,Table width wrong caused by colspan/img/overflow,0,1,1
22,Core-1141,Core-2592,DUPLICATE,CSS inherit Value should be supported,inherit keyword doesnt work for auto margins,0,1,1
23,Core-1218,Core-2015,DUPLICATE,Text transform errors,text-transform problems,1,1,1
24,Core-1221,Core-1223,DUPLICATE,Crash in JS_GetPrivate(),Crash when handling js with statement in NGLayout,0,1,1
25,Core-1235,Core-5016,DUPLICATE,{feature} we dont handle relatively positioned objects quite right,Relatively positioned inline elements should be absolute containers,0,0,1
26,Core-1267,Core-1324,DUPLICATE,body does not handle style changed reflow targeted at it,Assertion in nsBodyFrame,1,0,1
27,Core-1325,Core-1401,DUPLICATE,cell borders dont draw correctly,table borders almost invisible,1,1,1
28,Core-1356,Core-1420,DUPLICATE,URL: (relative) Bogus Image crashes NGLayout,URL: partial URL in IMG SRC crashes,1,1,1
29,Core-1358,Core-1995,DUPLICATE,[4.xP]Tooltips do not work,,0,0,1
30,Core-1363,Core-2038,DUPLICATE,how should we do lists in the ua.css,UL; etc. left margin vs. padding,1,1,1
31,Core-1405,Core-5685,DUPLICATE,transparent radio buttons,[PP][NATIVE-WIDGET]<input> background cannot be made transparent (which should be default),0,0,1
32,Core-1427,Core-9140,DUPLICATE,Image maps areas not accessible as content through DOM,{html4} AREA elements dont fire events,0,0,1
33,Core-1495,Core-2486,DUPLICATE,search for: edit field too large,Text inputs are one (or two) character(s) too wide,0,1,1
34,Core-1516,Core-32252,DUPLICATE,small-caps need boldening to match the big caps,,0,0,1
35,Core-1519,Core-4248,DUPLICATE,underline and collapsing trailing whitespace,,0,0,1
36,Core-1538,Core-2105,DUPLICATE,Search or keyword text not visibly contained within the input box.,Text invisible in form textbox,0,0,1
37,Core-1551,Core-1563,DUPLICATE,Right-hand regions of tables filled with garbage,,0,0,1
38,Core-1561,Core-10926,DUPLICATE,NECKO: Location bar not updated on 301 redirect,301/302 Redirects dont update location Bar,0,0,1
39,Core-1592,Core-1631,DUPLICATE,xpviewer is unresponsive while loading the lower banner,Conn: Freeze during page loading,1,1,1
40,Core-1637,Core-1638,DUPLICATE,ftp pages are displayed with improper formatting; no breaks,Layout of ftp page is extremely slow; slower than NOVA,0,1,1
41,Core-1640,Core-2110,DUPLICATE,URL: Relative addressing yields http://promo1.html; munged page layout,NECKO: URI scheme parsing; extensibility broken/missing,1,1,1
42,Core-1662,Core-1685,DUPLICATE,Background does not lay out,background image/color is not displayed,1,1,1
43,Core-1674,Core-1839,DUPLICATE,Strange word-wrapping bug,frame reference,0,1,1
44,Core-1752,Core-1839,DUPLICATE,Javascript error,frame reference,0,1,1
45,Core-1753,Core-1810,DUPLICATE,Page from cache is incomplete,nucache is hosed,1,1,1
46,Core-1776,Core-44973,DUPLICATE,Object Tag needs version control,,0,0,1
47,Core-1779,Core-1798,DUPLICATE,Thin borderline case fails; top border is 2x-3x,border sizes: thin/medium/thick cause rounding problems,0,1,1
48,Core-1794,Core-2382,DUPLICATE,disney doesnt load anymore,,0,0,1
49,Core-1813,Core-5856,DUPLICATE,Javascript has Pentium-style precision errors,,0,0,1
50,Core-1825,Core-2486,DUPLICATE,Right-aligned table cell on this page doesnt layout properly on initial load,Text inputs are one (or two) character(s) too wide,0,1,1
51,Core-1826,Core-1939,DUPLICATE,Padding does not work in text field form elements,{css1} form elements not supporting borders and padding,0,1,1
52,Core-1865,Core-3958,DUPLICATE,[PP] Animated Backgrounds are 2X slower on Mac OS then other platforms,[PP] Animation on throbber slow to load; doesnt show up sometimes,0,0,1
53,Core-1885,Core-5030,DUPLICATE,Animated gifs reloading unnecessarily,[BETA] Animated GIFs hit server (200) every time they loop,1,0,1
54,Core-1886,Core-11491,DUPLICATE,Setting document.body.bgColor does not cause the expected effect,Background color not covering all backround region,0,0,1
55,Core-1928,Core-1958,DUPLICATE,Submitting multiple check boxes sends the string on instead of the box IDs,Image inputs do not submit x and y coordinates to server,1,1,1
56,Core-1965,Core-2091,DUPLICATE,[PP] Mouse events dont get through to text frames in linux,[PP] Unable to click on links,1,0,1
57,Core-2029,Core-10736,DUPLICATE,Document load stalls,sched - MakeAbsolute performance (supporting large files) (gagan; ),0,0,1
58,Core-2068,Core-127798,DUPLICATE,Example 11.5 in w3 HTML 4.0 spec not rendered properly,,0,0,1
59,Core-2112,Core-5014,DUPLICATE,Two text areas getting selected at once,Need a function to render selection as inactive,0,0,1
60,Core-2132,Core-10731,DUPLICATE,[PP]Jan25/Need:Mac DNS Lookup is Synchronous,DNS: [Arch]sched - async dns mac (gordon; 2d),1,1,1
61,Core-2149,Core-2177,DUPLICATE,[PP] Tree View crashes in Mac viewer,,0,0,1
62,Core-2213,Core-3511,DUPLICATE,Key handling needs fixing,[BLOCK] Need key code -> character code translation,1,0,1
63,Core-2235,Core-3649,DUPLICATE,String catenation in JavaScript has non-linear memory/time usage,js.c lacks gc-checking branch callback.,1,0,1
64,Core-2324,Core-3437,DUPLICATE,CSS visited pseudo-class does not appear to be working,visited links dont show up in different color,0,1,1
65,Core-2344,Core-2397,DUPLICATE,Body background does not lay out.,[PP] http://www.sony.com/: background does not render,1,0,1
66,Core-2357,Core-17303,DUPLICATE,<INPUT TYPE=TEXT> does not use specified font [M12],Text input fields in chrome should use sans serif font,0,1,1
67,Core-2359,Core-2390,DUPLICATE,[PP]http://members.aol.com: Frame problem in layout. Also; minimize; then maximize and page does not reload (hangs),[PP] http://www.sportsline.com/: Only object that loads on page is the top table,1,0,1
68,Core-2364,Core-2542,DUPLICATE,Resizing browser window enlarges image,Resize expands JS/JPEG  pix endlessly,0,1,1
69,Core-2365,Core-2372,DUPLICATE,[PP] URL does not load,,0,0,1
70,Core-2374,Core-2394,DUPLICATE,this page renders as totally white with a few form widgets...,www.bloomberg.com {floater},1,1,1
71,Core-2387,Core-2390,DUPLICATE,[PP] http://www.imdb.com/: Image at top is only object that loads,[PP] http://www.sportsline.com/: Only object that loads on page is the top table,1,1,1
72,Core-2426,Core-9449,DUPLICATE,Title shows garbage text for non-Western pages,window titlebar does not render non-English [unicode] text properly,0,0,1
73,Core-2433,Core-2447,DUPLICATE,Parsing invalid html,Parsing html,1,1,1
74,Core-2434,Core-10738,DUPLICATE,NECKO: Possible problem with persistent connections,sched - need to get keep alive working in necko,0,0,1
75,Core-2442,Core-8984,DUPLICATE,TEXTAREAs need linebreaking enabled; and proper default set,[FEATURE] textarea wrap doesnt seem to be working,0,0,1
76,Core-2515,Core-3337,DUPLICATE,Table does not appear,Table not displayed,0,1,1
77,Core-2538,Core-2923,DUPLICATE,[PP}Jan25.Checkbox frames dont draw correctly on mac,[PP] Checkboxes dont display,0,1,1
78,Core-2573,Core-2632,DUPLICATE,INPUT attribute TABINDEX not implemented,INPUT attribute TABINDEX not implemented,1,1,1
