,Issue_id_1,Issue_id_2,Resolution,Title_1,Title_2,same_comp,same_prio,same_tw
0,Firefox-10954,Firefox-14871,WONTFIX,Dialup properties needs to be exposed in prefs,[Find] Find whole word only,0,0,1
1,Firefox-19118,Firefox-70171,WONTFIX,Plug-In Manager (ui for choosing mimetype-plugin associations),opening history window should select current site,0,1,1
2,Firefox-70171,Firefox-75119,WONTFIX,opening history window should select current site,Cookie Manager: Dont allow sites that set removed cookies to set future cookies  should stay checked/unchecked,0,0,1
3,Firefox-75119,Firefox-82301,FIXED,Cookie Manager: Dont allow sites that set removed cookies to set future cookies  should stay checked/unchecked,Today History folder should be expanded by default,0,0,1
4,Firefox-82301,Firefox-82938,FIXED,Today History folder should be expanded by default,Search Bookmarks accessible through manage bookmarks only,1,0,1
5,Firefox-82938,Firefox-83003,FIXED,Search Bookmarks accessible through manage bookmarks only,-bookmarks option,1,1,1
6,Firefox-83003,Firefox-84106,WONTFIX,-bookmarks option,[FIX]Not correctly retrieving post data when saving a page or frame generated from a form POST,0,0,1
7,Firefox-84106,Firefox-88541,FIXED,[FIX]Not correctly retrieving post data when saving a page or frame generated from a form POST,Show URI in status bar onmouseover of Back/Forward menu items,0,0,1
8,Firefox-88541,Firefox-91774,FIXED,Show URI in status bar onmouseover of Back/Forward menu items,Localization problems with Bookmarks Sorted By menu & History Sorted By menu,1,1,1
9,Firefox-91774,Firefox-92073,FIXED,Localization problems with Bookmarks Sorted By menu & History Sorted By menu,UI to allow external handlers for internal types,0,0,1
10,Firefox-92073,Firefox-93789,WONTFIX,UI to allow external handlers for internal types,Mozilla should support X11 session management,0,1,1
11,Firefox-93789,Firefox-94514,FIXED,Mozilla should support X11 session management,POST result page should not appear in global history or history autocomplete results,0,0,1
12,Firefox-94514,Firefox-104142,FIXED,POST result page should not appear in global history or history autocomplete results,want infinite Back,0,0,1
13,Firefox-104142,Firefox-110894,WONTFIX,want infinite Back,Use favicons on webpage shortcuts in Windows,0,1,1
14,Firefox-110894,Firefox-120494,FIXED,Use favicons on webpage shortcuts in Windows,Better documentation for font features,0,1,1
15,Firefox-120494,Firefox-134649,WONTFIX,Better documentation for font features,browser.urlbar.clickSelectsAll should default to false on Macintosh,0,1,1
16,Firefox-135567,Firefox-140108,FIXED,menu accesskeys needed for closing tabs and window in multitab cases,The Page Info Dialog should have a Server Tab,0,1,1
17,Firefox-140108,Firefox-145524,WONTFIX,The Page Info Dialog should have a Server Tab,add icons to context menu,0,1,1
18,Firefox-145524,Firefox-150379,WONTFIX,add icons to context menu,So called tab bar should be made a proper toolbar or given the ability collapse / expand.,0,1,1
19,Firefox-150379,Firefox-151437,WONTFIX,So called tab bar should be made a proper toolbar or given the ability collapse / expand.,View Image context menu item omits referrer,0,1,1
20,Firefox-151437,Firefox-153509,FIXED,View Image context menu item omits referrer,Allow search engines to test if they are the default,0,1,1
21,Firefox-155482,Firefox-161032,WONTFIX,Need icon for Quirks vs. Standards Mode,[XUL] Implement Cocoa-style toolbar customization.,1,1,1
22,Firefox-161032,Firefox-161448,FIXED,[XUL] Implement Cocoa-style toolbar customization.,#ifdefs for MOZ_PHOENIX,0,1,1
23,Firefox-161448,Firefox-161730,FIXED,#ifdefs for MOZ_PHOENIX,customize dialogs toolbar has small icons when small icons is not checked,0,1,1
24,Firefox-161730,Firefox-161735,FIXED,customize dialogs toolbar has small icons when small icons is not checked,nightly builds and tinderboxen for Phoenix,0,1,1
25,Firefox-161735,Firefox-161749,FIXED,nightly builds and tinderboxen for Phoenix,finish tearing prefs UI to pieces and then make it not suck,0,1,1
26,Firefox-161749,Firefox-161803,FIXED,finish tearing prefs UI to pieces and then make it not suck,mozbrowser script doesnt start correct binary,0,1,1
27,Firefox-161803,Firefox-161822,FIXED,mozbrowser script doesnt start correct binary,Need bookmark groups icon,0,1,1
28,Firefox-161822,Firefox-161866,FIXED,Need bookmark groups icon,Dropping at top of palette box horks things,0,1,1
29,Firefox-161866,Firefox-161867,FIXED,Dropping at top of palette box horks things,keyboard shortcut for Increase Text Size is broken,0,1,1
30,Firefox-161867,Firefox-161871,FIXED,keyboard shortcut for Increase Text Size is broken,default phoenix bookmarks,0,0,1
31,Firefox-161871,Firefox-162036,FIXED,default phoenix bookmarks,[cust] need a toolbar spacer and spring spacer for customize,0,0,1
32,Firefox-162036,Firefox-162150,FIXED,[cust] need a toolbar spacer and spring spacer for customize,Cant launch phoenix while Mozilla is running (or vice versa),0,1,1
33,Firefox-162150,Firefox-162286,FIXED,Cant launch phoenix while Mozilla is running (or vice versa),separator not available when all toolbar items are in toolbar layout,0,1,1
34,Firefox-162286,Firefox-162341,FIXED,separator not available when all toolbar items are in toolbar layout,history menu for the back/forward buttons doesnt work,1,1,1
35,Firefox-162341,Firefox-162344,FIXED,history menu for the back/forward buttons doesnt work,attempting to open back button history menu in the second window generates another back button on the toolbar,1,1,1
36,Firefox-165823,Firefox-165955,FIXED,Starting Customizing Toolbar makes the current page go blank,Check in Satchel (the successor to wallet),0,0,1
37,Firefox-165955,Firefox-165956,FIXED,Check in Satchel (the successor to wallet),Mousing over back/fwd menu in second window horks things,0,0,1
38,Firefox-165956,Firefox-165958,FIXED,Mousing over back/fwd menu in second window horks things,Personal toolbar needs a min-height to avoid popping in,1,0,1
39,Firefox-165958,Firefox-165959,FIXED,Personal toolbar needs a min-height to avoid popping in,New Folder...in ptoolbar context menu is broken,0,1,1
40,Firefox-165959,Firefox-165960,FIXED,New Folder...in ptoolbar context menu is broken,Implement Mozilla Firebird Help,0,1,1
41,Firefox-165960,Firefox-167100,FIXED,Implement Mozilla Firebird Help,tabs close in the wrong order (right to left),0,1,1
42,Firefox-167100,Firefox-167134,FIXED,tabs close in the wrong order (right to left),Customising toolbar breaks the throbber!,1,1,1
