,Issue_id_1,Issue_id_2,Resolution,Title_1,Title_2,same_comp,same_prio,same_tw
0,Firefox-14871,Firefox-269442,DUPLICATE,[Find] Find whole word only,,0,0,1
1,Firefox-134649,Firefox-409810,DUPLICATE,browser.urlbar.clickSelectsAll should default to false on Macintosh,,0,0,1
2,Firefox-153509,Firefox-340604,DUPLICATE,Allow search engines to test if they are the default,,0,0,1
3,Firefox-162344,Firefox-165956,DUPLICATE,attempting to open back button history menu in the second window generates another back button on the toolbar,Mousing over back/fwd menu in second window horks things,1,0,1
4,Firefox-170216,Firefox-280190,DUPLICATE,Pretty up dns error page a bit,,0,0,1
5,Firefox-170459,Firefox-170463,DUPLICATE,bookmarks should import Mozillas bookmarks,File | Import ... does not work  cannot import 4.x; Mozilla or Phoenix bookmarks,1,1,1
6,Firefox-170526,Firefox-170623,DUPLICATE,Window wont show completely,make preferences resizable,1,1,1
7,Firefox-171184,Firefox-171196,DUPLICATE,File -> Open Location does not open a dialog box.,,0,0,1
8,Firefox-171185,Firefox-171196,DUPLICATE,File -> Open Location does not open a dialog box.,,0,0,1
9,Firefox-171187,Firefox-171196,DUPLICATE,File -> Open Location does not open a dialog box.,,0,0,1
10,Firefox-171189,Firefox-171196,DUPLICATE,File -> Open Location does not open a dialog box.,,0,0,1
11,Firefox-171190,Firefox-171196,DUPLICATE,File -> Open Location does not open a dialog box.,,0,0,1
12,Firefox-171191,Firefox-171196,DUPLICATE,File -> Open Location does not open a dialog box.,,0,0,1
13,Firefox-171192,Firefox-171196,DUPLICATE,File -> Open Location does not open a dialog box.,,0,0,1
14,Firefox-171193,Firefox-171196,DUPLICATE,File -> Open Location does not open a dialog box.,,0,0,1
15,Firefox-171194,Firefox-171196,DUPLICATE,File -> Open Location does not open a dialog box.,,0,0,1
16,Firefox-171689,Firefox-171807,DUPLICATE,Unable to create a new folder  when selecting first ADD BOOKMARK,cant create or manage folders,1,1,1
17,Firefox-171803,Firefox-171807,DUPLICATE,New Folder... button in Add Bookmark dialog is broken,cant create or manage folders,1,1,1
18,Firefox-172029,Firefox-190678,DUPLICATE,Choosing Expand on PT produces JavaScript error,Right Clicking on Personal Toolabr gives js error,1,1,1
19,Firefox-172141,Firefox-174408,DUPLICATE,add toolbar list to context menu of toolbars,Show Toolbars menu when right-clicking toolbar,1,1,1
20,Firefox-172273,Firefox-172276,DUPLICATE,Support context menus on menuitems,,0,0,1
21,Firefox-172426,Firefox-191992,DUPLICATE,Remove modern listing now that we dont package modern theme.,modern.jar is packaged in zip builds,1,1,1
22,Firefox-172976,Firefox-187573,DUPLICATE,Tab prefs should allow changing new tab contents,Pref(s) to set what new tabs and windows display,1,1,1
23,Firefox-173251,Firefox-250231,DUPLICATE,Use typeahead find in search bar,,0,0,1
24,Firefox-173493,Firefox-176268,DUPLICATE,Bookmark overflow horked when location bar is customized to its own toolbar.,,0,0,1
25,Firefox-173539,Firefox-173784,DUPLICATE,Regression: middle-clicking on bookmarks isnt working,Middle click on bookmark is broken,1,1,1
26,Firefox-173770,Firefox-216137,DUPLICATE,xpinstall/packager cannot package Mozilla Firebird,,0,0,1
27,Firefox-174098,Firefox-175335,DUPLICATE,buggy Open in Tabs feature,With only one tab open; opening a bookmark folder as tabs always overwrites the one tab,0,1,1
28,Firefox-174535,Firefox-175404,DUPLICATE,Uncontrollable behaviour of the separator line,Not possible to create a folder or separator between two other folders in Manage Bookmarks,1,1,1
29,Firefox-175302,Firefox-184202,DUPLICATE,some sort of form thing in OOM situation crashed,,0,0,1
30,Firefox-175529,Firefox-175530,DUPLICATE,Currently selected tab has bold text,,0,0,1
31,Firefox-175581,Firefox-176549,DUPLICATE,General/Home Page pref isnt working,,0,0,1
32,Firefox-177205,Firefox-177227,DUPLICATE,Toolbar buttons dont stay to left of menubar when placed there,Menubar position is not remembered,1,1,1
33,Firefox-177227,Firefox-177343,DUPLICATE,Menubar position is not remembered,Menu cant be moved; but its still draggable,1,1,1
34,Firefox-177500,Firefox-308396,DUPLICATE,Each tab should have its own close button,,0,0,1
35,Firefox-177563,Firefox-203556,DUPLICATE,Bookmark-Toolbar Folder-Expansion in manner of Menu Expansion,Bookmarks toolbar folders should act like menus,0,1,1
36,Firefox-178123,Firefox-184433,DUPLICATE,Internet Keywords: localhost goes to www.localhost.net.au,,0,0,1
37,Firefox-178322,Firefox-184202,DUPLICATE,Browser crashes when pointer on mouse over of an autocomplete form,,0,0,1
38,Firefox-178395,Firefox-184202,DUPLICATE,Intermittent Phoenix crash when typing into web form,,0,0,1
39,Firefox-178621,Firefox-178622,DUPLICATE,Selecting one of the  quick searches from the menu should be more useful,Selecting one of the  quick searches from the menu should be more useful,1,1,1
40,Firefox-179597,Firefox-180069,DUPLICATE,Enable printing pages in reverse order,,0,0,1
41,Firefox-179689,Firefox-179724,DUPLICATE,ctrl+d is not possible on java websites,,0,0,1
42,Firefox-179821,Firefox-184202,DUPLICATE,Autocomplete crash: one single option; hit tab (maybe); down arrow; enter; crashed,,0,0,1
43,Firefox-180031,Firefox-205815,DUPLICATE,cant print page source,Find again; Print; Save Page As; is broken in Page Source,1,1,1
44,Firefox-180992,Firefox-180993,DUPLICATE,it uses 130 Mb RAM: phoenix forx and produces 6 child processes,,0,0,1
45,Firefox-181094,Firefox-184202,DUPLICATE,(sometime) crash if autocomplete in form fields is used,,0,0,1
46,Firefox-181226,Firefox-193638,DUPLICATE,Phoenix locked on loading a pdf file now startup configuration file is corrupt with syntax error,,0,0,1
47,Firefox-181893,Firefox-194865,DUPLICATE,mouse click fails to select/deselect option for originating Web site only in Preferences->Advanced->Images,Web Features: checkbox  for the originating Web site only can t be checked,1,1,1
48,Firefox-182409,Firefox-225175,DUPLICATE,[INSTALLER] Mozilla Firebird needs an installer on non-windows operating systems,,0,0,1
49,Firefox-183945,Firefox-199819,DUPLICATE,cannot disable autocomplete,setting browser.formfill.enable (Saved Form Information) to false doesnt disable form autocomplete,1,1,1
50,Firefox-184151,Firefox-224279,DUPLICATE,Switching themes messes up some toolbar buttons,,0,0,1
51,Firefox-184454,Firefox-219378,DUPLICATE,CTRL + middle-click paste (Linux) loads URL in active tab; too,,0,0,1
52,Firefox-184852,Firefox-185571,DUPLICATE,Font resizing causes scroll bars to disapper,,0,0,1
53,Firefox-185102,Firefox-214263,DUPLICATE,[INSTALLER] document what files are generated by Firebird installer,[INSTALLER] Windows Installer,1,0,1
54,Firefox-186075,Firefox-212556,DUPLICATE,Keyboard shortcuts sometimes not working when window regains focus,,0,0,1
55,Firefox-186288,Firefox-188090,DUPLICATE,build fails on libtoolkitcomps.so,Build failure in toolkit/components/build due missing gkgfx,1,1,1
56,Firefox-186865,Firefox-455756,DUPLICATE,[RFE] New tab button on Tab Bar,,0,0,1
57,Firefox-187544,Firefox-196252,DUPLICATE,Set as Bookmarks Toolbar Folder is in the view menu of the Bookmark Manager,,0,0,1
58,Firefox-188155,Firefox-189307,DUPLICATE,phoenix starts esd; never plays anything,,0,0,1
59,Firefox-189043,Firefox-243091,DUPLICATE,Debloat and purge classic.jar of cruft,Dont distribute communicator/navigator/mailnews/editor cruft in classic.jar/comm.jar,0,1,1
60,Firefox-189615,Firefox-257405,DUPLICATE,Emacs/vi keybindings (shortcut keys) conflicting when URL/Search bar/text area has focus  (Ctrl+W does not close tab; Ctrl+U does not display page source),,0,0,1
61,Firefox-189847,Firefox-204393,DUPLICATE,incorrect favicon displayed on non-root pages,favicon.ico given undue preference over link rel=icon,0,1,1
62,Firefox-190661,Firefox-190755,DUPLICATE,Type ahead crashes Phoenix when hitting backspace,,0,0,1
63,Firefox-191524,Firefox-274712,DUPLICATE,Options Dialog UI,,0,0,1
64,Firefox-191768,Firefox-191818,DUPLICATE,Close Other Tabs gone,,0,0,1
65,Firefox-194581,Firefox-201850,DUPLICATE,Crash by Ctrl+L; Ctrl+K or Alt+D at page with text field,Autocomplete Fun,1,1,1
66,Firefox-196626,Firefox-224408,DUPLICATE,dont replace keyword %s with url immediately if url is javascript:*,,0,0,1
67,Firefox-197227,Firefox-210910,DUPLICATE,issues with right-click context menu in bookmark toolbar folder in Firebird,Right-clicking a file within a bookmarks folder in the bookmarks menu or toolbar makes that folder inaccessible,1,0,1
68,Firefox-197304,Firefox-232172,DUPLICATE,Home button should respect key modifiers and middle-clicks,Make link modifiers work on the home button,1,1,1
69,Firefox-198929,Firefox-198941,DUPLICATE,Context menu broken,Popup blocker bustage,0,1,1
70,Firefox-201494,Firefox-227713,DUPLICATE,Icons highlighting bug in the options menu,General ICON incorrectly highlighted in Tools->Options,1,1,1
71,Firefox-202758,Firefox-212487,DUPLICATE,Form fields are not prompted until the second character is entered,Form autocomplete is one character behind typed text,1,1,1
72,Firefox-203528,Firefox-265028,DUPLICATE,Cache will not empty by pressing Clear all or Clear,,0,0,1
73,Firefox-203624,Firefox-203625,DUPLICATE,Image blocker by directory and part domain name,,0,0,1
74,Firefox-203893,Firefox-203899,DUPLICATE,Folders in Bookmarks Toolbar stay Expanded if menu was closed with right-click operation on content,Folders in Bookmarks Toolbar stay Expanded if menu was closed with right-click operation on content,0,1,1
75,Firefox-203896,Firefox-203899,DUPLICATE,Folders in Bookmarks Toolbar stay Expanded if menu was closed with right-click operation on content,Folders in Bookmarks Toolbar stay Expanded if menu was closed with right-click operation on content,0,1,1
76,Firefox-203897,Firefox-203899,DUPLICATE,Folders in Bookmarks Toolbar stay Expanded if menu was closed with right-click operation on content,Folders in Bookmarks Toolbar stay Expanded if menu was closed with right-click operation on content,0,1,1
77,Firefox-203898,Firefox-203899,DUPLICATE,Folders in Bookmarks Toolbar stay Expanded if menu was closed with right-click operation on content,Folders in Bookmarks Toolbar stay Expanded if menu was closed with right-click operation on content,0,1,1
78,Firefox-204134,Firefox-205276,DUPLICATE,Remove XXXben... crud from download manager history description,Toggle and retention window needed for Download Manager History prefs,1,1,1
79,Firefox-204489,Firefox-234598,DUPLICATE,Random crashes in nightlies and 0.6 release,,0,0,1
80,Firefox-204525,Firefox-205176,DUPLICATE,Help button in Cookie Manager does not call up help popup,,0,0,1
81,Firefox-204526,Firefox-205176,DUPLICATE,Help button in Password Manager does not call up help pop-up,,0,0,1
82,Firefox-205011,Firefox-267831,DUPLICATE,Make search bar/box resizable,add a splitter to resize the search bar,0,0,1
83,Firefox-205171,Firefox-206823,DUPLICATE,Menu Item - Tools > Cookie Manager,[UI] Add standard Mozilla Tools Menuitems to the Tools Menu of FireBird,0,1,1
84,Firefox-205199,Firefox-206752,DUPLICATE,Toolbar bookmarks fail to work after activating opening a new window when no windows where open,Bookmarks on menu bar dont work after opening new window,1,1,1
85,Firefox-205305,Firefox-205820,DUPLICATE,Uncaught exception in JS console after profile selection,Dont ask at startup fails on multiple profiles,1,1,1
