,Issue_id_1,Issue_id_2,Resolution,Title_1,Title_2,same_comp,same_prio,same_tw
0,Thunderbird-35689,Thunderbird-36836,FIXED,Newsgroup postings dont linkify newsgroup header (like 4.x).,mail conduit for the palm devices,0,0,1
1,Thunderbird-36836,Thunderbird-58140,WONTFIX,mail conduit for the palm devices,save multiple messages as individual files in directory,1,1,1
2,Thunderbird-58140,Thunderbird-67219,FIXED,save multiple messages as individual files in directory,Disable filters menu item when no accounts are set up,0,1,1
3,Thunderbird-67219,Thunderbird-68784,FIXED,Disable filters menu item when no accounts are set up,when sending mail; should first check no recipient; then no subject (its currently the other way round),0,1,1
4,Thunderbird-68784,Thunderbird-74959,FIXED,when sending mail; should first check no recipient; then no subject (its currently the other way round),implement mail back and forward,0,1,1
5,Thunderbird-74959,Thunderbird-75927,FIXED,implement mail back and forward,Compact or Purge button,1,1,1
6,Thunderbird-75927,Thunderbird-81091,FIXED,Compact or Purge button,Go|Next|Starred  Go|Previous|Starred (was Flagged) message shouldnt be grayed out (standalone message window),1,1,1
7,Thunderbird-81091,Thunderbird-108702,FIXED,Go|Next|Starred  Go|Previous|Starred (was Flagged) message shouldnt be grayed out (standalone message window),Opening Folder ... should show folder name,1,1,1
8,Thunderbird-108702,Thunderbird-123440,FIXED,Opening Folder ... should show folder name,Stop that annoying modal dialog when mail cant connect to the mail server from connection time out error,1,0,1
9,Thunderbird-123440,Thunderbird-128129,FIXED,Stop that annoying modal dialog when mail cant connect to the mail server from connection time out error,enter/return for selected card/list in directory pane wont open properties dlg,0,0,1
10,Thunderbird-128129,Thunderbird-129183,FIXED,enter/return for selected card/list in directory pane wont open properties dlg,Crash opening the address book after editing the history.mab file -TBTrunk [@ nsAddrDatabase::UpdateLowercaseEmailListName ],1,1,1
11,Thunderbird-129183,Thunderbird-148195,FIXED,Crash opening the address book after editing the history.mab file -TBTrunk [@ nsAddrDatabase::UpdateLowercaseEmailListName ],remove session-logout code from mailnews,0,1,1
12,Thunderbird-148195,Thunderbird-151244,FIXED,remove session-logout code from mailnews,return receipt should be processed after the message has loaded,0,1,1
13,Thunderbird-151244,Thunderbird-170520,FIXED,return receipt should be processed after the message has loaded,Allow SMTP server to be specified when creating new account,0,1,1
14,Thunderbird-170520,Thunderbird-171907,FIXED,Allow SMTP server to be specified when creating new account,drag & drop an .eml file into a mailbox folder,0,1,1
15,Thunderbird-171907,Thunderbird-174630,FIXED,drag & drop an .eml file into a mailbox folder,Easier way to file sent mail,0,1,1
16,Thunderbird-183394,Thunderbird-193281,FIXED,sometimes when you delete a message; the focus gets lost instead of going to the next message,Ability to import/save e-mail messages from .eml text files to folders (Message|Copy),0,1,1
17,Thunderbird-193281,Thunderbird-199019,FIXED,Ability to import/save e-mail messages from .eml text files to folders (Message|Copy),Typing some letters in quick-search box triggers menu selection,0,1,1
18,Thunderbird-199019,Thunderbird-199540,FIXED,Typing some letters in quick-search box triggers menu selection,Filter on multiple instances of Received header,0,1,1
19,Thunderbird-202497,Thunderbird-202603,FIXED,Need to set default mailto protocol handler when default mail app,Thunderbird/About Thunderbird menu item doesnt function,0,1,1
20,Thunderbird-202603,Thunderbird-203728,FIXED,Thunderbird/About Thunderbird menu item doesnt function,Remote images ALWAYS loads regardless of privacy/security settings,1,1,1
21,Thunderbird-203728,Thunderbird-203799,FIXED,Remote images ALWAYS loads regardless of privacy/security settings,Cant add or save attachments - thunderbird on Solaris,1,1,1
22,Thunderbird-203799,Thunderbird-204045,FIXED,Cant add or save attachments - thunderbird on Solaris,thunderbird should have next/previous buttons,1,1,1
23,Thunderbird-204045,Thunderbird-204055,FIXED,thunderbird should have next/previous buttons,middle-click returns browser error,1,1,1
24,Thunderbird-204055,Thunderbird-204707,FIXED,middle-click returns browser error,Problem with View Image,1,1,1
25,Thunderbird-204707,Thunderbird-204737,FIXED,Problem with View Image,Unable to do a GTK2 build on Linux GCC-3.2,1,1,1
26,Thunderbird-204737,Thunderbird-207354,FIXED,Unable to do a GTK2 build on Linux GCC-3.2,change Macs triangle twisties to Windows square twisties,1,1,1
27,Thunderbird-207354,Thunderbird-207508,FIXED,change Macs triangle twisties to Windows square twisties,sent mail box screen shakes up and down.  Even when changing messages,1,1,1
28,Thunderbird-207645,Thunderbird-208002,FIXED,Option in mail view window missing: Message Body As,Cant access imap mail over an SSL connection where MozillaMail can,1,1,1
29,Thunderbird-208002,Thunderbird-208083,FIXED,Cant access imap mail over an SSL connection where MozillaMail can,Almost any e-mail encoded in Russian/Hebrew is shown with question marks instead of letters,1,1,1
30,Thunderbird-208083,Thunderbird-208428,FIXED,Almost any e-mail encoded in Russian/Hebrew is shown with question marks instead of letters,Leave messages on server for X days,0,1,1
31,Thunderbird-208566,Thunderbird-208945,FIXED,Save as doesnt work,HTML-MAIL; viewer does not jump to local fragment ids,1,1,1
32,Thunderbird-208945,Thunderbird-209792,FIXED,HTML-MAIL; viewer does not jump to local fragment ids,crashes when manual moving messages to junk folder,1,1,1
33,Thunderbird-209792,Thunderbird-209996,FIXED,crashes when manual moving messages to junk folder,Mail window shakes when one email is in a map; and the window is smaller then one line,1,1,1
34,Thunderbird-213136,Thunderbird-213182,FIXED,cannot change mail password,Proxies on Mac OS X appear to not work,1,1,1
35,Thunderbird-213182,Thunderbird-213212,FIXED,Proxies on Mac OS X appear to not work,double clicking scrollbar up/down arrows in Contacts sidebar adds selected address(es) to recipient list,0,1,1
36,Thunderbird-213212,Thunderbird-213318,FIXED,double clicking scrollbar up/down arrows in Contacts sidebar adds selected address(es) to recipient list,Quick search messages drop down To or Cc filter should include Bcc (Recipient filter),0,1,1
37,Thunderbird-213852,Thunderbird-214035,FIXED,Address book crashes when validating a card modification,The message for Default SMTP will be used needs change,0,1,1
38,Thunderbird-214035,Thunderbird-214111,FIXED,The message for Default SMTP will be used needs change,Drag and drop only drags the top message from a collapsed thread,0,0,1
39,Thunderbird-214114,Thunderbird-214117,FIXED,Double-click on folder opens new window AND goes to new messages.,Moving Message Compose Window disables writing,0,1,1
40,Thunderbird-214117,Thunderbird-214126,FIXED,Moving Message Compose Window disables writing,Cannot launch Firebird from Thunderbird,0,1,1
41,Thunderbird-214136,Thunderbird-214205,FIXED,Close all windows ; then cannot reopen window,About Mozilla Thunderbird dialog to small for large fonts,1,1,1
42,Thunderbird-214205,Thunderbird-214228,FIXED,About Mozilla Thunderbird dialog to small for large fonts,Mozilla menubar reappears when no open windows (Thunderbird; similar to bug 204418),1,1,1
43,Thunderbird-214228,Thunderbird-214230,FIXED,Mozilla menubar reappears when no open windows (Thunderbird; similar to bug 204418),All edit actions (Cut/Copy/Paste etc.) dont work in View Message Source window,1,1,1
44,Thunderbird-214230,Thunderbird-214234,FIXED,All edit actions (Cut/Copy/Paste etc.) dont work in View Message Source window,Cant Print Selection in Message Window,1,1,1
45,Thunderbird-214238,Thunderbird-214240,FIXED,Crashes after I select OK after making changes to properties of an address,New Enhancement for Thunderbird,0,1,1
46,Thunderbird-214285,Thunderbird-214301,WONTFIX,main window can be closed when editing preferences,thunderbird duplicates mails when compressing POP mail box,1,1,1
47,Thunderbird-214336,Thunderbird-214354,FIXED,crashes in mime_find_class() when editing (ctrl-e) a signed email,crash starting thunderbird 0.1 on linux,1,1,1
48,Thunderbird-214361,Thunderbird-214399,WONTFIX,Re-add splitter collapse capability,BMS Tracking Bug,1,1,1
49,Thunderbird-214399,Thunderbird-214400,FIXED,BMS Tracking Bug,4.x Profile Migration,1,1,1
50,Thunderbird-214400,Thunderbird-214402,FIXED,4.x Profile Migration,Keep thread pane blank until we are logged in,1,1,1
51,Thunderbird-214402,Thunderbird-214408,FIXED,Keep thread pane blank until we are logged in,Focus freezes in addressing envelope,0,1,1
52,Thunderbird-214446,Thunderbird-214450,FIXED,Duplicate Mnemonic for Rewrap Menu Item in Compose Window,Notification only on good mails,0,1,1
53,Thunderbird-214482,Thunderbird-214505,FIXED,keyboard shortcuts in Address Book dont work,Spell Check should not check quoted text header in forwards and replies,0,1,1
54,Thunderbird-214508,Thunderbird-214514,FIXED,window size unappropriate for big fonts,Signature appears at the end of inline quoted text; even when compose is before it,0,1,1
55,Thunderbird-214539,Thunderbird-214544,FIXED,Cant specify to save addresses that I have replied too,Tools - Options - Fonts: both prop. and monospace font size combo box are blank,1,1,1
56,Thunderbird-214544,Thunderbird-214587,FIXED,Tools - Options - Fonts: both prop. and monospace font size combo box are blank,Incorrect display of Tree pane,0,1,1
57,Thunderbird-214639,Thunderbird-214648,FIXED,when trying to edit an address card; the window that pops up is awkwardly resized.,Minimize to tray,0,1,1
58,Thunderbird-214663,Thunderbird-214676,FIXED,Thunderbird localization problems; package structure incompatibility with Mozilla and Firefox,Need to make icons work for many platforms,0,1,1
59,Thunderbird-214676,Thunderbird-214687,FIXED,Need to make icons work for many platforms,Show account name in identity field,0,1,1
60,Thunderbird-214687,Thunderbird-214713,FIXED,Show account name in identity field,Addressbar divider shakes horribly when # of card equals # of lines of display,0,1,1
61,Thunderbird-214764,Thunderbird-214766,FIXED,Click here to download rest of message feature does not work,Mechanism for entering email addresses (to; cc; bcc) is awkward,0,1,1
62,Thunderbird-214833,Thunderbird-214838,FIXED,Fails to automatically advance to next newsgroup,Status bar disappears after changing window configuration,1,1,1
63,Thunderbird-214864,Thunderbird-214896,FIXED,Checkmark on View|Toolbars|Mail Toolbar is set when the Mail Toolbar is hidden,Main window title should not show message subject,1,1,1
64,Thunderbird-214896,Thunderbird-214932,FIXED,Main window title should not show message subject,Messages dont stay threaded when view|messages|unread is selected,1,1,1
65,Thunderbird-214981,Thunderbird-214996,FIXED,Localstore.rdf not always created if missing ==>  UI Customizations dont get saved.,Thunderbird LDAP Address Book  - clicking Advanced results in 100% CPU Load,0,1,1
