,Issue_id_1,Issue_id_2,Resolution,Title_1,Title_2,same_comp,same_prio,same_tw
0,Thunderbird-174630,Thunderbird-220123,DUPLICATE,Easier way to file sent mail,,0,0,1
1,Thunderbird-213318,Thunderbird-586101,DUPLICATE,Quick search messages drop down To or Cc filter should include Bcc (Recipient filter),,0,0,1
2,Thunderbird-213406,Thunderbird-216252,DUPLICATE,can not invoke Mozilla Firebird to do web surfing related stuff,,0,0,1
3,Thunderbird-213548,Thunderbird-213897,DUPLICATE,Not possible to sort mail by order received,,0,0,1
4,Thunderbird-214111,Thunderbird-448288,DUPLICATE,Drag and drop only drags the top message from a collapsed thread,,0,0,1
5,Thunderbird-214284,Thunderbird-214962,DUPLICATE,IMAP server directory requires trailing slash,,0,0,1
6,Thunderbird-214354,Thunderbird-217255,DUPLICATE,crash starting thunderbird 0.1 on linux,crash with message: Gdk-WARNING **: gdkdrawable-x11.c:787 drawable is not a pixmap or window,0,1,1
7,Thunderbird-214408,Thunderbird-215771,DUPLICATE,Focus freezes in addressing envelope,,0,0,1
8,Thunderbird-214587,Thunderbird-217475,DUPLICATE,Incorrect display of Tree pane,UI alignment issues in default theme,1,1,1
9,Thunderbird-214766,Thunderbird-252665,DUPLICATE,Mechanism for entering email addresses (to; cc; bcc) is awkward,,0,0,1
10,Thunderbird-214838,Thunderbird-217477,DUPLICATE,Status bar disappears after changing window configuration,Message pane and its scrollbars do not resize properly when main window is resized.,1,1,1
11,Thunderbird-214996,Thunderbird-215897,DUPLICATE,Thunderbird LDAP Address Book  - clicking Advanced results in 100% CPU Load,,0,0,1
12,Thunderbird-215416,Thunderbird-217255,DUPLICATE,thunderbird wont start gdkdrawable-x11.c:787 drawable is not a pixmap or window,crash with message: Gdk-WARNING **: gdkdrawable-x11.c:787 drawable is not a pixmap or window,0,1,1
13,Thunderbird-215576,Thunderbird-221726,DUPLICATE,Cant specify columns in Folder Pane,optionally add unread;total; and size columns to thunderbird folder pane; controlled by pref,1,1,1
14,Thunderbird-215649,Thunderbird-241845,DUPLICATE,Saving mail edited as new doesnt work,,0,0,1
15,Thunderbird-215828,Thunderbird-215829,DUPLICATE,SSL not working,,0,0,1
16,Thunderbird-215959,Thunderbird-216133,DUPLICATE,mechanism to load supressed images per message,Message pane indicator for blocked image,0,1,1
17,Thunderbird-215960,Thunderbird-248080,DUPLICATE,with imap account; if i set my sent-mail folder to Inbox (by selecting Inbox->Choose this folder in account preferences); sent mail is stored in INBOX.INBOX,,0,0,1
18,Thunderbird-216208,Thunderbird-222798,DUPLICATE,request: localised folder names,Change trash folder for localizated server in account settings,0,1,1
